2022-08-16 00:02:37,208 [daml.index.db.threadpool.connection.indexer-2] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000009)),2022-08-16T05:00:00Z), context: {participant: "sandbox"}
2022-08-16 00:02:37,235 [daml.index.db.threadpool.connection.indexer-2] INFO  c.d.p.indexer.MeteringAggregator - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000009)),2022-08-16T05:00:00Z), context: {participant: "sandbox"}
2022-08-16 00:23:03,022 [canton-env-execution-context-2923] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2022-08-16 00:23:03,023 [canton-env-execution-context-25] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2022-08-16 00:23:03,026 [canton-env-execution-context-29] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2022-08-16 00:23:03,026 [canton-env-execution-context-25] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2022-08-16 00:23:03,027 [canton-env-execution-context-29] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domain=local - The sequencer subscription has been terminated by the server.
2022-08-16 00:23:03,027 [canton-env-execution-context-25] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domain=local - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2022-08-16 00:27:15,996 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-08-16 00:27:27,195 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
2022-08-16 00:27:29,573 [daml.index.db.connection.indexer connection adder] INFO  c.d.p.s.b.c.InitHookDataSourceProxy - Init hook execution finished successfully, connection ready, context: {participant: "sandbox"}
